province,year,total/ten_thousand,urban/ten_thousand,rural/ten_thousand,birth_rate,death_rate,location
Guizhou,2017,"3,580","1,648","1,932",13.98,6.88,West
Yunnan,2017,"4,801","2,241","2,559",13.53,6.68,West
Tibet,2017,337,104,233,16,4.95,West
Shaanxi,2017,"3,835","2,178","1,657",11.11,6.24,West
Gansu,2017,"2,626","1,218","1,408",12.54,6.52,West
Qinghai,2017,598,317,281,14.42,6.17,West
Ningxia,2017,682,395,287,13.44,4.75,West
Xinjiang,2017,"2,445","1,207","1,238",15.88,4.48,West
Beijing,2016,"2,173","1,880",293,9.32,5.2,East
Tianjin,2016,"1,562","1,295",267,7.37,5.54,East
Hebei,2016,"7,470","3,983","3,487",12.42,6.36,East
Shanxi,2016,"3,682","2,070","1,612",10.29,5.52,Middle
Inner Mongolia,2016,"2,520","1,542",978,9.03,5.69,West
Liaoning,2016,"4,378","2,949","1,429",6.6,6.78,Northeast
Jilin,2016,"2,733","1,530","1,203",5.55,5.6,Northeast
Heilongjiang,2016,"3,799","2,249","1,550",6.12,6.61,Northeast
Shanghai,2016,"2,420","2,127",293,9,5,East
Jiangsu,2016,"7,999","5,417","2,582",9.76,7.03,East
Zhejiang,2016,"5,590","3,745","1,845",11.22,5.52,East
Anhui,2016,"6,196","3,221","2,975",13.02,5.96,Middle
Fujian,2016,"3,874","2,464","1,410",14.5,6.2,East
Jiangxi,2016,"4,592","2,438","2,154",13.45,6.16,Middle
Shandong,2016,"9,947","5,871","4,076",17.89,7.05,East
Henan,2016,"9,532","4,623","4,909",13.26,7.11,Middle
Hubei,2016,"5,885","3,419","2,466",12.04,6.97,Middle
Hunan,2016,"6,822","3,599","3,223",13.57,7.01,Middle
Guangdong,2016,"10,999","7,611","3,388",11.85,4.41,East
Guangxi,2016,"4,838","2,326","2,512",13.82,5.95,West
Hainan,2016,917,521,396,14.57,6,East
Chongqing,2016,"3,048","1,908","1,140",11.77,7.24,West
Sichuan,2016,"8,262","4,066","4,196",10.48,6.99,West
Guizhou,2016,"3,555","1,570","1,985",13.43,6.93,West
Yunnan,2016,"4,771","2,148","2,623",13.16,6.55,West
Tibet,2016,331,98,233,15.79,5.11,West
Shaanxi,2016,"3,813","2,110","1,703",10.64,6.23,West
Gansu,2016,"2,610","1,166","1,444",12.18,6.18,West
Qinghai,2016,593,306,287,14.7,6.18,West
Ningxia,2016,675,380,295,13.69,4.72,West
Xinjiang,2016,"2,398","1,159","1,239",15.34,4.26,West
Beijing,2015,"2,171","1,877",293,7.96,4.95,East
Tianjin,2015,"1,547","1,278",269,5.84,5.61,East
Hebei,2015,"7,425","3,811","3,614",11.35,5.79,East
Shanxi,2015,"3,664","2,016","1,648",9.98,5.56,Middle
Inner Mongolia,2015,"2,511","1,514",997,7.72,5.32,West
Liaoning,2015,"4,382","2,952","1,431",6.17,6.59,Northeast
Jilin,2015,"2,753","1,523","1,230",5.87,5.53,Northeast
Heilongjiang,2015,"3,812","2,241","1,570",6,6.6,Northeast
Shanghai,2015,"2,415","2,116",299,7.52,5.07,East
Jiangsu,2015,"7,976","5,306","2,670",9.05,7.03,East
Zhejiang,2015,"5,539","3,645","1,894",10.52,5.5,East
Anhui,2015,"6,144","3,103","3,041",12.92,5.94,Middle
